Major,Early Career Pay,Mid Career Pay
Human Relations,53500,86000
Merchandising,61000,86000
Environmental Health Science,63000,86000
Communication Management,54400,85900
Security Management,55500,85900
Administration,49700,85800
Adult Education & Training,58000,85800
Health Care Management,53000,85800
Medical Laboratory Technology,66700,85800
Multimedia & Web Design,57600,85700
Psychology,52800,85700
Visual Communications,52800,85600
Emergency Management,58900,85500
Natural Resource Management,54600,85300
Hotel & Restaurant Management,56400,85300
Anthropology,55200,85200
Diagnostic Medical Imaging,70300,85200
Middle Eastern Studies,67900,85100
Painting & Printmaking,40500,85100
Criminology,52200,85000
New Media,53100,85000
Psychology & Social Behavior,53300,84900
Art & Design,53200,84700
Ecology,54700,84500
Interior Design,53200,84500
Multidisciplinary Studies,51500,84500
Hospitality Management,55400,84500
Music,52700,84400
Health Sciences,52300,84300
Sociology,54700,84300
Physical Anthropology,57600,84100
Cardiopulmonary Science,58200,84000
Archaeology,52700,83900
Life Sciences,61100,83900
SocialStudies,54200,83900
Communication Arts,49600,83800
Health Information Management,57200,83700
Kinesiology,52600,83700
Clinical Laboratory Science,63400,83700
Spanish Language Teacher Education,56700,83600
Child Psychology,50500,83500
Exercise Physiology,50600,83500
Respiratory Care,63700,83500
Art Therapy,47500,83400
Medical Laboratory Science,64900,83400
Secondary Education,52100,83400
Theater,52800,83400
Hospital Administration,60100,83300
Practical Nursing,72100,83300
Health,51000,83200
Health Care Administration,53400,83200
Mass Media,47100,82900
Sustainability,56100,82700
Radiography,64700,82600
Media Communication,55000,82500
Applied Behavior Analysis,44700,82400
Biological Anthropology,54900,82400
Hotel & Restaurant Tourism,50200,82400
Respiratory Therapy,63800,82400
Radio & Television,50100,82100
Recreation Management,50300,81900
Humanities,58100,81800
Computer Art,45400,81600
Communications Technology,54100,81500
Psychiatry,65900,81500
Commercial Photography,50400,81300
Fashion Design & Marketing,55300,81200
Interdisciplinary Studies (IS),52200,81200
Web Design,55500,81200
Legal Studies,55000,81100
Nutrition & Dietetics,59000,81100
Plant Sciences,57400,80900
Graphic Design,52900,80800
Fine Arts,50400,80800
Liberal Studies,52800,80700
Modern Languages,58900,80700
Religion,51900,80600
Medical Technology,62800,80500
Dietetics,59700,80300
Health Administration,49500,80300
Missions,46700,80300
Applied Sociology,48900,80100
Criminal Justice,50000,80000
Ornamental Horticulture,47400,79800
Physical Geography,56100,79800
Landscape Management,61100,79600
Ministry,42700,79600
Public Health (PH),54000,79600
Speech-Language Pathology,51400,79400
Drawing,44300,79300
Health & Fitness,45300,79200
Forensic Psychology,49700,79100
Pastoral Studies,60800,79100
Culture Studies,53500,79000
Foods & Nutrition,54500,78900
Women's Studies,52500,78900
Forensic Accounting,56200,78900
Animal Science,48300,78800
Performing Arts,52900,78600
Education,52200,78500
African American & African Studies,55900,78400
Hospitality & Tourism,53200,78200
Modern Language Spanish,52400,78200
Arts & Science,53300,77900
Nutrition Science,57800,77800
Speech Pathology & Audiology,53100,77700
Media Production,50800,77600
Small Business Management,54000,77600
Painting,48500,77500
Social Science Teacher Education,53100,77500
Network Technology,64100,77500
Psychology & Sociology,50700,77400
Music Composition,51200,77300
Video Production,48900,77300
Dramatic Art,50000,76700
Mortuary Science,49100,76600
Technical Theatre,48000,76600
Family & Consumer Science,51300,76500
Radio Broadcasting,53100,76500
Theology,51800,76500
Health Studies,50900,76400
Consumer Affairs,59500,76200
Vocal Performance,49900,76100
Art,51000,76000
Behavioral Science,50800,75900
Health Services Administration,50100,75900
General Studies,51300,75800
Photography,51300,75800
Exercise & Sports Science,49500,75700
Forensic Science,53600,75700
History Teacher Education,53000,75700
International Trade,55700,75600
Restaurant & Food Service Management,50600,75500
Health & Physical Education Teaching,46600,75300
Justice Studies,53800,75200
Tourism & Travel,46700,75100
Culinary Arts,47800,74900
Physical Education Teaching,49700,74900
Physical Therapist Assistant Studies,56800,74800
Graphic Arts,49800,74600
Interior Design & Merchandising,51700,74300
Supervision & Management,49500,74300
Event Management,49800,74100
Health & Wellness,46800,74100
Music Industry,54500,74100
Clinical Psychology,49300,74000
Recreation Administration,55500,74000
Health & Exercise Science,48300,73900
Physical Education & Exercise Science,52600,73900
Recreation & Leisure Studies,48400,73800
Ceramics,51100,73700
Culinary Arts & Food Service Management,49800,73700
Secondary English Teacher Education,51700,73600
Family & Community Services,49700,73500
Instrumental Music Teacher Education,51100,73200
Health Services Management,48900,73100
Exercise Science,48900,72900
English Teacher Education,50300,72900
Paralegal Studies,47300,72900
Audio Production,51300,72600
Community Health,54300,72400
Photojournalism,48200,72400
Fashion & Retail Management,57300,72300
Dance,51800,72000
Conservation Biology,49400,71600
Parks & Recreation Management,49700,71500
Deaf Studies,43300,71300
Music Teacher Education,49600,71300
Tourism Management,51400,71300
Teaching English as a Second Language (ESL),49900,70900
Organizational Administration,52600,70700
Wildlife Biology,50200,70400
Educational Studies (ED),46900,70300
Elementary Special Education,52500,70300
Horticulture,49900,70100
Gender Studies,52700,70000
Landscape Design,57900,70000
Wildlife Management,45800,70000
Community Development,53000,69600
Emergency Medical Services (EMS),48100,69600
Biblical Studies & Practical Ministries,44300,69200
Community Health Education,50100,69200
Recording Arts,53400,69200
Health Promotion,49500,69000
Social Studies Teacher Education,50900,69000
Athletic Training,49100,68900
Pastoral Ministry,45800,68900
Communication Sciences & Disorders,52000,68700
Speech & Hearing,53200,68600
Sculpture,46000,68200
Church Ministries,43300,67400
Biblical Studies,48400,67300
Horticulture & Agronomy,60700,67200
Bible Studies & Theology,46300,67000
Human Development & Family Studies,47000,66400
Family Studies,46300,66100
Legal Assistant Studies,43300,66100
Christian Ministry,44300,65200
Health and Human Services,50600,65100
Voice & Opera,39600,65100
Home Economics,49200,65000
Special Education,48400,65000
Music Therapy,49400,64900
Rehabilitation Services,43600,64700
Developmental Psychology,44200,63700
Youth Ministry,44000,63700
Educational Psychology,48100,63600
Community & Human Services,49500,63200
Therapeutic Recreation,46700,63200
Social Work (SW),45000,63000
Elementary Education,47300,62500
Office Administration,45600,62300
Christian Education,47200,62200
Human Services (HS),45800,61400
Child Development,43400,60400
Middle School Education,49900,60200
Recreational Therapy,45700,58900
Early Childhood & Elementary Education,44900,58000
Outdoor Education,43400,56900
Baking & Pastry Arts,43700,56500
Child & Family Studies,42900,55300
Mental Health,44100,54500
Equine Studies,42300,54100
Nonprofit Administration,43900,53700
Addictions Counseling,47300,52400
Early Childhood Education,43400,52200
Metalsmithing,45900,46600
